Total segments: 416, train=332, val=84
Label map (normalized_label -> id):
  id=0: 0
  id=1: 3
Label map (normalized_label -> id):
  id=0: 0
  id=1: 3
num_classes = 2 label2id = {'0': 0, '3': 1}
Epoch 01: train_loss=0.2750 | full: loss=0.0391, acc=1.0000 | audio_only: loss=0.0558, acc=1.0000 | sensor_only: loss=0.6495, acc=0.6548
  -> New best full_acc=1.0000! Saved to checkpoints\best_multimodal.pt
Epoch 02: train_loss=0.1087 | full: loss=0.0145, acc=1.0000 | audio_only: loss=0.0232, acc=1.0000 | sensor_only: loss=0.6593, acc=0.6310
Epoch 03: train_loss=0.0418 | full: loss=0.0023, acc=1.0000 | audio_only: loss=0.0045, acc=1.0000 | sensor_only: loss=0.6456, acc=0.7024
Epoch 04: train_loss=0.0778 | full: loss=0.0064, acc=1.0000 | audio_only: loss=0.0101, acc=1.0000 | sensor_only: loss=0.6274, acc=0.6786
Epoch 05: train_loss=0.0188 | full: loss=0.0032, acc=1.0000 | audio_only: loss=0.0070, acc=1.0000 | sensor_only: loss=0.6235, acc=0.6786
Epoch 06: train_loss=0.0080 | full: loss=0.0009, acc=1.0000 | audio_only: loss=0.0025, acc=1.0000 | sensor_only: loss=0.6236, acc=0.6905
Epoch 07: train_loss=0.0072 | full: loss=0.0009, acc=1.0000 | audio_only: loss=0.0025, acc=1.0000 | sensor_only: loss=0.6310, acc=0.6310
Epoch 08: train_loss=0.0521 | full: loss=0.0231, acc=1.0000 | audio_only: loss=0.0465, acc=0.9881 | sensor_only: loss=0.6043, acc=0.6667
Epoch 09: train_loss=0.0177 | full: loss=0.0244, acc=1.0000 | audio_only: loss=0.0563, acc=0.9524 | sensor_only: loss=0.6012, acc=0.7024
Epoch 10: train_loss=0.0685 | full: loss=0.0004, acc=1.0000 | audio_only: loss=0.0010, acc=1.0000 | sensor_only: loss=0.5934, acc=0.6786
Epoch 11: train_loss=0.0202 | full: loss=0.0006, acc=1.0000 | audio_only: loss=0.0017, acc=1.0000 | sensor_only: loss=0.5973, acc=0.6310
Epoch 12: train_loss=0.0147 | full: loss=0.0003, acc=1.0000 | audio_only: loss=0.0012, acc=1.0000 | sensor_only: loss=0.5935, acc=0.6786
Epoch 13: train_loss=0.0148 | full: loss=0.0014, acc=1.0000 | audio_only: loss=0.0026, acc=1.0000 | sensor_only: loss=0.5911, acc=0.6667
Epoch 14: train_loss=0.0158 | full: loss=0.0009, acc=1.0000 | audio_only: loss=0.0016, acc=1.0000 | sensor_only: loss=0.5885, acc=0.6667
Epoch 15: train_loss=0.0292 | full: loss=0.0005, acc=1.0000 | audio_only: loss=0.0012, acc=1.0000 | sensor_only: loss=0.5856, acc=0.6667
Epoch 16: train_loss=0.0140 | full: loss=0.0067, acc=1.0000 | audio_only: loss=0.0203, acc=0.9881 | sensor_only: loss=0.5930, acc=0.6190
Epoch 17: train_loss=0.0026 | full: loss=0.0014, acc=1.0000 | audio_only: loss=0.0056, acc=1.0000 | sensor_only: loss=0.5888, acc=0.6548
Epoch 18: train_loss=0.0006 | full: loss=0.0007, acc=1.0000 | audio_only: loss=0.0030, acc=1.0000 | sensor_only: loss=0.5883, acc=0.6548
Epoch 19: train_loss=0.0007 | full: loss=0.0005, acc=1.0000 | audio_only: loss=0.0022, acc=1.0000 | sensor_only: loss=0.5873, acc=0.6548
Epoch 20: train_loss=0.0009 | full: loss=0.0004, acc=1.0000 | audio_only: loss=0.0018, acc=1.0000 | sensor_only: loss=0.5875, acc=0.6548
